제목,링크,작성일자
"이재명, 尹에 “‘이재명게이트’ 녹취록 없으면 사퇴?” 野 “명확히 있다”",https://biz.chosun.com/policy/politics/election2022/2022/02/21/WXX5XKDCL5DWHGH46QJKM63W7Y/,2022.02.21
"[단독] ‘7급 공무원’ A씨,이재명후보 ‘식사운반’ 위해 주말 출근까지 해야 했다!",http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14670&NewsNumb=20220214670,2022.02.17
"민주당 야심작 ‘이재명OTT’, 게임 상위랭킹 ‘이재명안티’가 장악",https://biz.chosun.com/policy/politics/election2022/2022/02/15/MXRQ2JRW5ZABNAHAA6JKMU3TOE/,2022.02.15
[단독] 정영학 김만배 녹취록에 나온 '이재명게이트' 발언 공개,http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14696&NewsNumb=20220214696,2022.02.21
"이재명, 본인을 암행어사 박문수에 빗댄 조정래 감독에 “감사합니다”",https://biz.chosun.com/policy/politics/election2022/2022/02/17/KQGKQFL7ZNHRBLMJE3FAPKAIQA/,2022.02.17
"與는 제명한다는데…윤미향,이재명지지 선언 “여성폭력 없는 세상”",https://biz.chosun.com/policy/politics/election2022/2022/02/19/OAXFDEWM6NAPZAILI67F6ZHNDQ/,2022.02.19
이재명‘검사사칭 전과 소명’ 논란…野 “하다하다 선거 공보물에 거짓말”,https://biz.chosun.com/policy/politics/election2022/2022/02/23/AUA4IL3RDFED5JNYJIQK2LIYHU/,2022.02.23
이재명지원 나선 신대철·이은미·윤일상 “정말 똑똑” “에너지 모아주자”,https://biz.chosun.com/policy/politics/election2022/2022/02/17/PTJ74VOGCZAJDHJJALMMDKA2JU/,2022.02.17
"朴 전 대통령 동생 박근령,이재명지지 공식 선언",https://biz.chosun.com/policy/politics/election2022/2022/03/02/JVBP4GHWE5D5BN5GHULIQX4IWM/,2022.03.02
"김동연, 후보 사퇴… “이재명당선 위해 신발끈 묶겠다”",https://biz.chosun.com/policy/politics/election2022/2022/03/02/SC5Z4B7PD5B57NYZUETENAH3M4/,2022.03.02
이재명“윤석열 게이트” 권영세 “이완용이 안중근 매국노라고 하는 것”,https://biz.chosun.com/policy/politics/election2022/2022/02/24/EZZMGIAC2ZFWFMHSOWBJIBELTE/,2022.02.24
